event_name,calendar_title,catalog_name,start_date,end_date,url,results_year,results_month,edition_ym_candidates,date_precision,date_source,flags,source_fingerprint
Augsburg Westie Station,Augsburg Westie Station,Augsburg Westie Station,2026-10-22,2026-10-25,https://www.augsburgwestiestation.com/,2026,10,2026-10,day,wsdc_calendar,,b677c51d58a48bb0dafb12c6
Halloween SwingThing,Halloween SwingThing,Halloween SwingThing,2026-10-22,2026-10-25,http://Hstswing.com,2026,10,2026-10,day,wsdc_calendar,,0dae37e4b2e9e5c60a3ffd87
SASS- Spooky Albany Swing Spectacular,SASS- Spooky Albany Swing Spectacular,SASS- Spooky Albany Swing Spectacular,2026-10-22,2026-10-25,http://www.spookyalbanyswing.com,2026,10,2026-10,day,wsdc_calendar,,c19a0c0b39051a0a674cd4df
Swing City Chicago,Swing City Chicago,Swing City Chicago,2026-10-22,2026-10-25,https://swingcitychicago.com,2026,10,2026-10,day,wsdc_calendar,,4e3a3aefb59eb188b5826016
Swingside Invitational,Swingside Invitational,Swingside Invitational,2026-10-22,2026-10-24,http://www.swingside-invitational.com,2026,10,2026-10,day,wsdc_calendar,,0a34dbf37538b2155c2a5fc2
Swingside Invitational,Swingside Invitational,Swingside Invitational,2026-10-23,2026-10-25,https://www.swingside-invitational.com,2026,10,2026-10,day,wsdc_calendar,,9ee0dd84cb9512c11ab44bf5
"Scandinavian Open WCS ""SNOW""","Scandinavian Open WCS ""SNOW""",Scandinavian Open,2026-10-28,2026-11-02,http://www.snowcs.se,2026,11,2026-11|2026-10,day,wsdc_calendar,,b3f14e09dd2097b15eeb2515
Spooky Westie Weekend,Spooky Westie Weekend,Spooky Westie Weekend,2026-10-29,2026-11-01,https://spookywestieweekend.com/,2026,11,2026-11|2026-10,day,wsdc_calendar,,2d52dfcc0e676c47d89ab1d3
Warsaw Halloween Swing,Warsaw Halloween Swing,Warsaw Halloween Swing,2026-10-29,2026-11-02,http://www.warsawhalloweenswing.com,2026,11,2026-11|2026-10,day,wsdc_calendar,,359c690048b2bb2978c21856
Mountain Magic Dance Convention,Mountain Magic Dance Convention,Mountain Magic Dance Convention,2026-11-05,2026-11-08,http://mountainmagic.dance,2026,11,2026-11,day,wsdc_calendar,,5df815d9ce1315224c001f44
Sea to Sky Seattle,Sea to Sky Seattle,Sea to Sky Seattle,2026-11-05,,http://Seatoskywcs.com,2026,11,2026-11,day_start_only,wsdc_calendar,invalid_end,267c5c38307061d765d6841c
Simply Adelaide West Coast Swing,Simply Adelaide West Coast Swing,Simply Adelaide West Coast Swing,2026-11-05,2026-11-08,http://www.simplyadelaidewcs.com.au,2026,11,2026-11,day,wsdc_calendar,,64b9c744f6990fa57a068af9
Tampa Bay Classic,Tampa Bay Classic,Tampa Bay Classic,2026-11-05,2026-11-08,http://www.tbcwcs.com,2026,11,2026-11,day,wsdc_calendar,,37aebccd498ff0cc883b0d0a
Moscow Westie Fest Gala Edition,Moscow Westie Fest Gala Edition,Moscow Westie Fest,2026-11-06,2026-11-08,http://westiefest.org/,2026,11,2026-11,day,wsdc_calendar,,2a18c1f364a291f4f9928bac
Westie Pink City,Westie Pink City,Westie Pink City,2026-11-06,2026-11-08,http://www.westiepinkcity.fr,2026,11,2026-11,day,wsdc_calendar,,aa5efa615829cdccc05f424d
Midnight Madness WCS,Midnight Madness WCS 2026,Midnight Madness,2026-11-12,2026-11-15,http://www.MidnightMadnessWCS.com,2026,11,2026-11,day,wsdc_calendar,,6c7a6245c6d0bdba6e3ca39d
Northeast Swing Classic,Northeast Swing Classic,Northeast Swing Classic,2026-11-12,2026-11-15,http://www.northeastswingclassic.com,2026,11,2026-11,day,wsdc_calendar,,6d27462b10b73cc31af716da
Westie's Angels,Westie's Angels,Westie's Angels,2026-11-12,2026-11-15,http://www.frenchywesty.com,2026,11,2026-11,day,wsdc_calendar,,2cc789834be3ba9d6f496f75
Autumn Swing Challenge,Autumn Swing Challenge,Autumn Swing Challenge,2026-11-13,2026-11-15,http://www.asc-budapest.com,2026,11,2026-11,day,wsdc_calendar,,9f3381c9ca7f0829dbd6b7a5
