dancer_id,role,dance,level,total_points,update_date
16219,Follower,West Coast Swing,Intermediate,11,2024-10-30
16274,Follower,West Coast Swing,Master,1,2024-10-30
16274,Follower,West Coast Swing,Novice,15,2024-10-23
16274,Follower,West Coast Swing,Novice,16,2024-10-30
16297,Follower,West Coast Swing,Advanced,41,2024-10-23
16297,Follower,West Coast Swing,Advanced,47,2024-10-30
16353,Follower,West Coast Swing,Advanced,5,2024-10-23
16353,Follower,West Coast Swing,Advanced,6,2024-10-30
16363,Leader,West Coast Swing,Novice,1,2024-10-30
16367,Follower,West Coast Swing,Intermediate,10,2024-10-23
16367,Follower,West Coast Swing,Intermediate,11,2024-10-30
16413,Leader,West Coast Swing,All-Star,2,2024-10-23
16413,Leader,West Coast Swing,All-Star,3,2024-10-30
16413,Leader,West Coast Swing,Sophisticated,35,2024-10-23
16413,Leader,West Coast Swing,Sophisticated,36,2024-10-30
16485,Leader,West Coast Swing,All-Star,50,2024-10-23
16485,Leader,West Coast Swing,All-Star,51,2024-10-30
16584,Follower,West Coast Swing,All-Star,7,2024-10-23
16584,Follower,West Coast Swing,All-Star,8,2024-10-30
16592,Leader,West Coast Swing,Advanced,18,2024-10-23
16592,Leader,West Coast Swing,Advanced,22,2024-10-30
16593,Follower,West Coast Swing,Advanced,17,2024-10-23
16593,Follower,West Coast Swing,Advanced,18,2024-10-30
16605,Leader,West Coast Swing,Intermediate,25,2024-10-23
16605,Leader,West Coast Swing,Intermediate,31,2024-10-30
16606,Follower,West Coast Swing,Intermediate,18,2024-10-23
16606,Follower,West Coast Swing,Intermediate,19,2024-10-30
16683,Follower,West Coast Swing,Advanced,27,2024-10-23
16683,Follower,West Coast Swing,Advanced,35,2024-10-30
16753,Leader,West Coast Swing,All-Star,13,2024-10-23
16753,Leader,West Coast Swing,All-Star,14,2024-10-30
16753,Leader,West Coast Swing,Sophisticated,23,2024-10-23
16753,Leader,West Coast Swing,Sophisticated,33,2024-10-30
16776,Follower,West Coast Swing,Intermediate,14,2024-10-23
16776,Follower,West Coast Swing,Intermediate,15,2024-10-30
16818,Follower,West Coast Swing,Intermediate,15,2024-10-23
16818,Follower,West Coast Swing,Intermediate,16,2024-10-30
16824,Leader,West Coast Swing,Advanced,43,2024-10-23
16824,Leader,West Coast Swing,Advanced,49,2024-10-30
17056,Follower,West Coast Swing,All-Star,6,2024-10-23
17056,Follower,West Coast Swing,All-Star,8,2024-10-30
17061,Follower,West Coast Swing,Intermediate,1,2024-10-30
17063,Follower,West Coast Swing,Intermediate,10,2024-10-23
17063,Follower,West Coast Swing,Intermediate,11,2024-10-30
17109,Follower,West Coast Swing,Intermediate,17,2024-10-23
17109,Follower,West Coast Swing,Intermediate,18,2024-10-30
17109,Follower,West Coast Swing,Sophisticated,10,2024-10-23
17109,Follower,West Coast Swing,Sophisticated,20,2024-10-30
17175,Leader,West Coast Swing,Newcomer,1,2024-10-30
17194,Leader,West Coast Swing,Intermediate,1,2024-10-23
17194,Leader,West Coast Swing,Intermediate,3,2024-10-30
17248,Follower,West Coast Swing,Sophisticated,8,2024-10-30
17254,Follower,West Coast Swing,All-Star,27,2024-10-23
17254,Follower,West Coast Swing,All-Star,29,2024-10-30
17255,Leader,West Coast Swing,Intermediate,15,2024-10-23
17255,Leader,West Coast Swing,Intermediate,23,2024-10-30
17257,Follower,West Coast Swing,Advanced,29,2024-10-23
17257,Follower,West Coast Swing,Advanced,30,2024-10-30
17275,Leader,West Coast Swing,Advanced,35,2024-10-23
17275,Leader,West Coast Swing,Advanced,36,2024-10-30
17292,Leader,West Coast Swing,Intermediate,8,2024-10-30
17359,Leader,West Coast Swing,Intermediate,7,2024-10-23
17359,Leader,West Coast Swing,Intermediate,13,2024-10-30
17415,Follower,West Coast Swing,Intermediate,7,2024-10-23
17415,Follower,West Coast Swing,Intermediate,8,2024-10-30
17416,Follower,West Coast Swing,Novice,2,2024-10-30
17442,Follower,West Coast Swing,Intermediate,29,2024-10-23
17442,Follower,West Coast Swing,Intermediate,30,2024-10-30
17469,Leader,West Coast Swing,Novice,28,2024-10-23
17469,Leader,West Coast Swing,Novice,29,2024-10-30
17566,Follower,West Coast Swing,Sophisticated,34,2024-10-23
17566,Follower,West Coast Swing,Sophisticated,36,2024-10-30
17622,Follower,West Coast Swing,Novice,9,2024-10-23
17622,Follower,West Coast Swing,Novice,19,2024-10-30
17630,Follower,West Coast Swing,All-Star,18,2024-10-23
17630,Follower,West Coast Swing,All-Star,19,2024-10-30
17707,Leader,West Coast Swing,Advanced,3,2024-10-23
17707,Leader,West Coast Swing,Advanced,4,2024-10-30
17707,Leader,West Coast Swing,Sophisticated,22,2024-10-23
17707,Leader,West Coast Swing,Sophisticated,23,2024-10-30
17734,Follower,West Coast Swing,Advanced,27,2024-10-23
17734,Follower,West Coast Swing,Advanced,28,2024-10-30
17737,Follower,West Coast Swing,All-Star,59,2024-10-23
17737,Follower,West Coast Swing,All-Star,60,2024-10-30
17780,Follower,West Coast Swing,Advanced,41,2024-10-23
17780,Follower,West Coast Swing,Advanced,42,2024-10-30
17783,Leader,West Coast Swing,Advanced,40,2024-10-23
17783,Leader,West Coast Swing,Advanced,42,2024-10-30
17784,Follower,West Coast Swing,Intermediate,15,2024-10-23
17784,Follower,West Coast Swing,Intermediate,19,2024-10-30
17823,Leader,West Coast Swing,All-Star,6,2024-10-23
17823,Leader,West Coast Swing,All-Star,14,2024-10-30
17831,Leader,West Coast Swing,Advanced,33,2024-10-23
17831,Leader,West Coast Swing,Advanced,34,2024-10-30
17843,Follower,West Coast Swing,All-Star,10,2024-10-23
17843,Follower,West Coast Swing,All-Star,11,2024-10-30
17901,Leader,West Coast Swing,Intermediate,29,2024-10-23
17901,Leader,West Coast Swing,Intermediate,30,2024-10-30
17918,Leader,West Coast Swing,Intermediate,31,2024-10-23
17918,Leader,West Coast Swing,Intermediate,32,2024-10-30
17943,Leader,West Coast Swing,Advanced,30,2024-10-23
17943,Leader,West Coast Swing,Advanced,38,2024-10-30
17960,Leader,West Coast Swing,Novice,1,2024-10-30
17961,Leader,West Coast Swing,Sophisticated,7,2024-10-23
17961,Leader,West Coast Swing,Sophisticated,8,2024-10-30
17984,Leader,West Coast Swing,Intermediate,16,2024-10-23
17984,Leader,West Coast Swing,Intermediate,31,2024-10-30
17992,Leader,West Coast Swing,Intermediate,4,2024-10-23
17992,Leader,West Coast Swing,Intermediate,5,2024-10-30
18006,Follower,West Coast Swing,Advanced,59,2024-10-23
18006,Follower,West Coast Swing,Advanced,60,2024-10-30
18025,Follower,West Coast Swing,Sophisticated,17,2024-10-23
18025,Follower,West Coast Swing,Sophisticated,19,2024-10-30
18080,Leader,West Coast Swing,Intermediate,15,2024-10-23
18080,Leader,West Coast Swing,Intermediate,17,2024-10-30
18088,Leader,West Coast Swing,Advanced,31,2024-10-23
18088,Leader,West Coast Swing,Advanced,39,2024-10-30
18145,Leader,West Coast Swing,Advanced,14,2024-10-23
18145,Leader,West Coast Swing,Advanced,16,2024-10-30
18167,Leader,West Coast Swing,Intermediate,21,2024-10-23
18167,Leader,West Coast Swing,Intermediate,31,2024-10-30
