event_id,event_name,event_year,event_month,planned_start_date,planned_end_date,calendar_status,date_source,source_fingerprint,calendar_title,url,match_via,scraped_at,updated_at
162,Swingapalooza,2013,5,2013-05-03,2013-05-05,scheduled,wsdc_dump,dump:competitionevents:1346,Swingapalooza,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
144,Swingin' Into Spring,2013,5,2013-05-02,2013-05-05,scheduled,wsdc_dump,dump:competitionevents:1340,Swingin' Into Spring,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
203,Detonation Dance,2013,4,2013-04-26,2013-04-28,scheduled,wsdc_dump,dump:competitionevents:1344,Detonation Dance ,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
218,Asia West Coast Swing Open,2013,4,2013-04-25,2013-04-28,scheduled,wsdc_dump,dump:competitionevents:1342,Asian WCS Open Swingvitation,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
134,Swing Dance America,2013,4,2013-04-25,2013-04-28,scheduled,wsdc_dump,dump:competitionevents:1343,Swing Dance America,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
200,Austin Swing Dance Championships,2013,4,2013-04-19,2013-04-21,scheduled,wsdc_dump,dump:competitionevents:1338,Austin Swing Dance Championships,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
172,International Hustle & Salsa Congress,2013,4,2013-04-11,2013-04-14,scheduled,wsdc_dump,dump:competitionevents:1341,International Hustle & Salsa Congress,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
199,San Francisco Dance Sensation,2013,4,2013-04-11,2013-04-14,scheduled,wsdc_dump,dump:competitionevents:1337,San Francisco Dance Sensation,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
187,City of Angels WCS,2013,4,2013-04-05,2013-04-07,scheduled,wsdc_dump,dump:competitionevents:1336,City of Angels,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
154,UK WCS Championships,2013,4,2013-04-05,2013-04-08,scheduled,wsdc_dump,dump:competitionevents:1334,UK & European WCS Championships,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
201,MidAtlantic Dance Classic,2013,4,2013-04-04,2013-04-06,scheduled,wsdc_dump,dump:competitionevents:1339,MidAtlantic Dance Classic,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
18,Easter Swing,2013,3,2013-03-28,2013-03-31,scheduled,wsdc_dump,dump:competitionevents:1335,Seattle's Easter Swing,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
170,Russian Open WCS Championships,2013,3,2013-03-28,2013-03-31,scheduled,wsdc_dump,dump:competitionevents:1333,Russian Open WCS Championships,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
132,Tulsa Spring Swing,2013,3,2013-03-28,2013-03-31,scheduled,wsdc_dump,dump:competitionevents:1332,Tulsa Spring Swing,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
9,Boston Tea Party,2013,3,2013-03-21,2013-03-25,scheduled,wsdc_dump,dump:competitionevents:1331,Boston Tea Party,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
153,Novice Invitational,2013,3,2013-03-15,2013-03-17,scheduled,wsdc_dump,dump:competitionevents:1329,Novice Invitational,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
186,West in Lyon,2013,3,2013-03-15,2013-03-17,scheduled,wsdc_dump,dump:competitionevents:1330,West In Lyon,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
197,5280 Westival,2013,3,2013-03-14,2013-03-17,scheduled,wsdc_dump,dump:competitionevents:1328,5280 Swing Dance Championships,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
143,High Desert Dance Classic,2013,3,2013-03-08,2013-03-10,scheduled,wsdc_dump,dump:competitionevents:1326,High Desert Dance Classic,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
142,The Chicago Classic,2013,3,2013-03-07,2013-03-10,scheduled,wsdc_dump,dump:competitionevents:1327,The Chicago Classic,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
92,MADjam,2013,3,2013-02-28,2013-03-03,scheduled,wsdc_dump,dump:competitionevents:1325,Mid-Atlantic Dance Jam,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
169,Dance Camp Chicago,2013,2,2013-02-22,2013-02-24,scheduled,wsdc_dump,dump:competitionevents:1323,Dance Camp Chicago,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
12,Capital Swing Dance Convention,2013,2,2013-02-15,2013-02-17,scheduled,wsdc_dump,dump:competitionevents:1324,Capital Swing Dance Convention,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
168,Scottish WCS Dance Championships,2013,2,2013-02-08,2013-02-10,scheduled,wsdc_dump,dump:competitionevents:1322,Scottish WCS Dance Championships,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
167,Best of the Best WCS,2013,1,2013-01-25,2013-01-28,scheduled,wsdc_dump,dump:competitionevents:1318,Best of the Best,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
183,Freedom Swing Dance Challenge,2013,1,2013-01-25,2013-01-27,scheduled,wsdc_dump,dump:competitionevents:1321,Freedom Swing Dance Challenge,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
196,SwingCouver,2013,1,2013-01-25,2013-01-27,scheduled,wsdc_dump,dump:competitionevents:1320,SwingCouver,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
67,Americas Classic,2013,1,2013-01-18,2013-01-20,scheduled,wsdc_dump,dump:competitionevents:1316,Americas Classic,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
62,Monterey SwingFest,2013,1,2013-01-18,2013-01-20,scheduled,wsdc_dump,dump:competitionevents:1315,Monterey SwingFest,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
184,BudaFest Open WCS Championships,2013,1,2013-01-11,2013-01-13,scheduled,wsdc_dump,dump:competitionevents:1317,BudaFest Open WCS Championships,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
75,UCWDC Country Dance World Championship,2013,1,2012-12-31,2013-01-06,scheduled,wsdc_dump,dump:competitionevents:1314,Worlds UCWDC,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
334,Countdown Swing Boston,2013,1,2012-12-29,2013-01-01,scheduled,wsdc_dump,dump:competitionevents:1311,New Year's Dance Extravaganza,,dump_competitionevents_series_id,2026-09-24 16:32:00.557472+00,2026-09-24 16:32:00.557472+00
42,Floorplay Swing Vacation,2013,1,2012-12-28,2013-01-01,scheduled,wsdc_dump,dump:competitionevents:1313,Floorplay New Years Swing Vacation,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
195,Palm Springs New Years Swing Dance Classic,2013,1,2012-12-28,2013-01-01,scheduled,wsdc_dump,dump:competitionevents:1312,Palm Springs New Years Swing Dance Classic,,dump_competitionevents_series_id,2026-09-24 16:28:21.321356+00,2026-09-24 16:28:21.321356+00
141,Spotlight New Year's Celebration,2013,1,2012-12-28,2013-01-01,scheduled,wsdc_dump,dump:competitionevents:1319,Spotlight Dance Challenge,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
126,Chico Dance Sensation,2012,12,2012-11-29,2012-12-02,scheduled,wsdc_dump,dump:competitionevents:1310,Chico Dance Sensation,,dump_competitionevents_series_id,2026-09-24 16:32:00.557472+00,2026-09-24 16:32:00.557472+00
87,CASH Bash,2012,11,2012-11-23,2012-11-25,scheduled,wsdc_dump,dump:competitionevents:1308,C.A.S.H. Bash Weekend,,dump_competitionevents_series_id,2026-09-24 16:32:00.557472+00,2026-09-24 16:32:00.557472+00
68,US Open Swing Dance Championships,2012,11,2012-11-22,2012-11-25,scheduled,wsdc_dump,dump:competitionevents:1309,US Open Swing Dance Championships,,dump_competitionevents_series_id,2026-09-24 16:32:00.557472+00,2026-09-24 16:32:00.557472+00
