event_id,canonical_name,url,registry_status,typical_city,typical_state,typical_country,typical_location,first_edition_year,last_edition_year,edition_count,total_result_rows,unique_dancers,upcoming_start_date,upcoming_location,updated_at
298,Shakedown Swing,http://www.code03swing.com/shakedown,Registry Event,,,New Zealand,"Christchurch, Canterbury, New Zealand",2018,2025,5,184,115,2026-08-20,"Christchurch, Canterbury, New Zealand",2026-06-23 12:49:48.149947+00
290,Shooba Dooba Swing,https://danceconvention.net/eventdirector/ru/eventpage/6023470-shooba-dooba-swing-2020/info,,,,,,2018,2025,9,578,296,,,2026-06-23 12:49:48.149947+00
459,Show Me Showdown,,,,,,,2019,2025,3,187,156,,,2026-06-23 12:49:48.149947+00
460,Show-Me Showdown,,,,,,,2014,2018,5,221,159,,,2026-06-23 12:49:48.149947+00
330,Simply Adelaide West Coast Swing,http://www.simplyadelaidewcs.com.au,,,,,,,,0,0,0,,,2026-06-23 12:49:48.149947+00
325,Simply Adelaide West Coast Swing,http://www.simplyadelaidewcs.com.au/,Registry Event,,,Australia,"Adelaide, SA, Australia",2020,2025,6,294,172,2026-11-05,"Adelaide, SA, Australia",2026-06-23 12:49:48.149947+00
209,SinCity Swing,,,,,,,2013,2015,3,256,205,,,2026-06-23 12:49:48.149947+00
223,Slingshot Swing,,,,,,,2014,2016,2,94,86,,,2026-06-23 12:49:48.149947+00
352,Slovenian Open,https://www.slovenianopen.dance,,,,,,2025,2026,2,232,181,,,2026-06-23 12:49:48.149947+00
336,SOM - Swing of Music,https://www.swingofmusic.com/,,,,,,2025,2026,2,179,143,,,2026-06-23 12:49:48.149947+00
205,SOswing,http://wwww.soswingdance.com/,Registry Event,,,United States,"Ashland, OR, United States",2013,2026,11,1014,621,2027-05-13,"Ashland, OR, United States",2026-06-23 12:49:48.149947+00
461,South Bay CW Dance Festival,,,,,,,1997,2017,19,1141,549,,,2026-06-23 12:49:48.149947+00
48,South Bay Dance Fling,https://sbdf.dance/,Registry Event,,,United States,"San Jose, California, United States",2018,2025,5,313,205,2026-09-03,"San Jose, California, United States",2026-06-23 12:49:48.149947+00
394,Southern Lights Swing,http://www.southernlightsswing.com.au/,Registry Event,,,Australia,"Hobart, Tasmania, Australia",2026,2026,1,68,60,2027-02-25,"Hobart, Tasmania, Australia",2026-06-23 12:49:48.149947+00
340,Spooky Westie Weekend,https://spookywestieweekend.com/,Registry Event,,,Singapore,"Singapore, Singapore, Singapore",2024,2025,2,97,81,2026-10-29,"Singapore, Singapore, Singapore",2026-06-23 12:49:48.149947+00
141,Spotlight New Year's Celebration,http://www.spotlightnewyears.com/,Registry Event,,,United States,"Nashville, TN, United States",2007,2026,15,1491,974,2026-12-30,"Nashville, TN, United States",2026-06-23 12:49:48.149947+00
49,Spring Fling,,,,,,,1991,1998,8,302,205,,,2026-06-23 12:49:48.149947+00
83,Spring Swing,,,,,,,2003,2014,3,133,118,,,2026-06-23 12:49:48.149947+00
204,Spring Swing,,,,,,,,,0,0,0,,,2026-06-23 12:49:48.149947+00
354,Spring Time Swing,https://springtimeswing.com/,,,,,,2025,2026,2,264,211,,,2026-06-23 12:49:48.149947+00
50,St. Patrick's Day Swing,,,,,,,2002,2003,2,161,136,,,2026-06-23 12:49:48.149947+00
462,St. Petersburg WCS Nights,,,,,,,2025,2025,1,122,109,,,2026-06-23 12:49:48.149947+00
52,Summer Dance Festival,,,,,,,1994,2003,10,482,338,,,2026-06-23 12:49:48.149947+00
53,Summer Hummer,http://summerhummerboston.com/,Registry Event,,,United States,"Boston, Massachusetts, United States",1997,2025,25,2616,1477,2026-08-20,"Boston, Massachusetts, United States",2026-06-23 12:49:48.149947+00
228,Summer Swing Classic,,,,,,,2014,2015,2,132,108,,,2026-06-23 12:49:48.149947+00
54,Summer Swing Jam,,,,,,,2001,2002,2,54,43,,,2026-06-23 12:49:48.149947+00
55,Sundance Labor Day Swing Dance Festival,,,,,,,1998,1998,1,62,62,,,2026-06-23 12:49:48.149947+00
230,Sunny Side Dance Camp,,,,,,,,,0,0,0,,,2026-06-23 12:49:48.149947+00
191,Sunny Side Dance Camp,,,,,,,2012,2016,5,201,150,,,2026-06-23 12:49:48.149947+00
151,Sunshine State Dance Challenge,,,,,,,2008,2011,4,87,73,,,2026-06-23 12:49:48.149947+00
240,Sweden Westie Gala,http://www.westiegala.com/,Registry Event,,,Sweden,"Stockholm, Stockholm, Sweden",2015,2026,9,725,472,2026-12-31,"Stockholm, Stockholm, Sweden",2026-06-23 12:49:48.149947+00
264,Swedish Swing Summer Camp,http://www.uptownswing.se/,Registry Event,,,Sweden,"Stockholm, Stockholm, Sweden",2016,2025,8,706,453,2026-08-14,"Stockholm, Stockholm, Sweden",2026-06-23 12:49:48.149947+00
185,Sweetheart Swing Classic,,,,,,,2012,2018,7,481,300,,,2026-06-23 12:49:48.149947+00
215,Swing & Snow,http://swingandsnow.ru/,Registry Event,,,Russia,"St. Petersburg, Russia",2014,2026,12,1051,567,2027-02-04,"St. Petersburg, Russia",2026-06-23 12:49:48.149947+00
56,Swing Break,,,,,,,1999,2000,2,148,123,,,2026-06-23 12:49:48.149947+00
57,Swing Challenge,,,,,,,1996,1998,3,46,40,,,2026-06-23 12:49:48.149947+00
125,Swing City Chicago,https://swingcitychicago.com/,Registry Event,,,United States,"CHICAGO, IL, United States",2006,2025,18,1787,1033,2026-10-22,"CHICAGO, IL, United States",2026-06-23 12:49:48.149947+00
343,Swing Crush,https://swingcrush.com/,Registry Event,,,United States,"San Antonio, TX, United States",2025,2026,2,191,160,2027-02-18,"San Antonio, TX, United States",2026-06-23 12:49:48.149947+00
134,Swing Dance America,,,,,,,2007,2023,15,1155,679,,,2026-06-23 12:49:48.149947+00
463,Swing Dance America (SDA),,,,,,,2024,2024,1,63,58,,,2026-06-23 12:49:48.149947+00
391,Swing Dance Mania,http://swingdancemania.com,,,,,,2025,2025,1,80,70,,,2026-06-23 12:49:48.149947+00
246,Swing Escape,,,,,,,2015,2019,5,215,127,,,2026-06-23 12:49:48.149947+00
58,Swing Expo,,,,,,,1993,2003,11,400,211,,,2026-06-23 12:49:48.149947+00
321,Swing Fiction,https://www.swingfiction.cz/,Registry Event,,,Czech Republic,"Brno, Czech Republic",2023,2025,3,270,223,2026-06-26,"Brno, Czech Republic",2026-06-23 12:49:48.149947+00
331,Swing Fiction,https://swingfiction.cz/,,,,,,,,0,0,0,,,2026-06-23 12:49:48.149947+00
