dancer_id,role,dance,level,total_points,update_date
844,Leader,West Coast Swing,Newcomer,2,2026-07-20
843,Follower,West Coast Swing,Master,35,2026-07-20
845,Follower,West Coast Swing,Novice,1,2026-07-20
846,Leader,West Coast Swing,Advanced,23,2026-07-20
847,Leader,West Coast Swing,Master,6,2026-07-20
849,Follower,West Coast Swing,Advanced,0,2026-07-20
850,Leader,West Coast Swing,Novice,15,2026-07-20
850,Leader,West Coast Swing,Master,3,2026-07-20
851,Follower,West Coast Swing,Champion,34,2026-07-20
851,Follower,West Coast Swing,Invitational,19,2026-07-20
851,Follower,West Coast Swing,Professional,30,2026-07-20
851,Follower,Lindy,Champion,10,2026-07-20
851,Follower,Lindy,Invitational,20,2026-07-20
851,Follower,Lindy,Professional,2,2026-07-20
852,Follower,West Coast Swing,Advanced,15,2026-07-20
852,Follower,West Coast Swing,Intermediate,21,2026-07-20
852,Follower,West Coast Swing,Novice,12,2026-07-20
852,Follower,West Coast Swing,Master,86,2026-07-20
853,Leader,West Coast Swing,Advanced,43,2026-07-20
853,Leader,West Coast Swing,Intermediate,1,2026-07-20
853,Leader,West Coast Swing,Novice,13,2026-07-20
853,Leader,West Coast Swing,Master,7,2026-07-20
854,Leader,West Coast Swing,All-Star,1,2026-07-20
854,Leader,West Coast Swing,Advanced,55,2026-07-20
854,Leader,West Coast Swing,Novice,3,2026-07-20
854,Leader,West Coast Swing,Master,66,2026-07-20
856,Follower,West Coast Swing,Advanced,6,2026-07-20
856,Follower,West Coast Swing,Professional,3,2026-07-20
855,Leader,West Coast Swing,Advanced,21,2026-07-20
855,Leader,West Coast Swing,Intermediate,24,2026-07-20
855,Leader,West Coast Swing,Novice,18,2026-07-20
855,Leader,West Coast Swing,Master,125,2026-07-20
857,Follower,West Coast Swing,Advanced,3,2026-07-20
858,Follower,West Coast Swing,Advanced,43,2026-07-20
858,Follower,West Coast Swing,Novice,10,2026-07-20
858,Follower,West Coast Swing,Master,6,2026-07-20
858,Follower,West Coast Swing,Professional,0,2026-07-20
858,Follower,West Coast Swing,Teacher,1,2026-07-20
859,Follower,West Coast Swing,Advanced,2,2026-07-20
861,Leader,West Coast Swing,Advanced,20,2026-07-20
862,Follower,West Coast Swing,Advanced,15,2026-07-20
862,Follower,West Coast Swing,Novice,10,2026-07-20
860,Leader,West Coast Swing,Invitational,2,2026-07-20
860,Leader,West Coast Swing,Advanced,22,2026-07-20
860,Leader,West Coast Swing,Intermediate,1,2026-07-20
860,Leader,West Coast Swing,Novice,14,2026-07-20
860,Leader,Lindy,Intermediate,6,2026-07-20
863,Leader,West Coast Swing,Novice,6,2026-07-20
865,Leader,West Coast Swing,Advanced,39,2026-07-20
865,Leader,West Coast Swing,Novice,12,2026-07-20
865,Leader,West Coast Swing,Master,4,2026-07-20
868,Follower,West Coast Swing,Advanced,3,2026-07-20
867,Leader,West Coast Swing,Advanced,12,2026-07-20
869,Follower,West Coast Swing,Novice,4,2026-07-20
872,Follower,West Coast Swing,Professional,36,2026-07-20
870,Leader,West Coast Swing,Advanced,55,2026-07-20
870,Leader,West Coast Swing,Master,93,2026-07-20
874,Follower,West Coast Swing,Advanced,3,2026-07-20
